Fecha,Cuadrante,Celda,Latitud,Longitud,Altitud,Nombre.provisional.morfo,de0a5.plantula,de5a10.de0a25,de10a15.de25a50,de15a20.de50a75,de20a25.de75a100,de25a30.de100a125,de30a35.de125a150,de35a40.de150a175,de40a45.de175a200,de45a50.de200a225,de50a55.de225a250,masde55.masde250,Floracion,Fructificacion,Colector.1,Numerodecoleccion_Plantula1,Colector.2,Numerodecoleccion_Plantula2,Colector.3,Numerodecoleccion_Plantula3,Colector.4,Numerodecoleccion_Adulto1,Colector.5,Numerodecoleccion_Adulto2,Colector.6,Numerodecoleccion_Adulto3,Repeticion
16-01-18,235,7487938,4.24694,-74.20696,3704,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7536887,4.24357,-74.19337,3675,grandiflora,1,1,1,1,1,1,1,0,0,0,0,0,0,1,YAM,127,NA,NA,NA,NA,YAM,126,NA,NA,NA,NA,0
15-01-18,235,7536887,4.24357,-74.19337,3675,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7536887,4.24357,-74.19337,3675,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7536887,4.24357,-74.19337,3675,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7500206,4.24602,-74.19508,3707,grandiflora,1,1,1,1,1,0,1,0,0,0,0,0,0,1,YAM,133,NA,NA,NA,NA,YAM,132,NA,NA,NA,NA,0
15-01-18,235,7500206,4.24602,-74.19508,3707,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7500206,4.24602,-74.19508,3707,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7500206,4.24602,-74.19508,3707,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7520579,4.2447,-74.1955,3744,grandiflora,1,1,1,1,1,1,1,0,0,0,0,0,0,1,YAM,135,NA,NA,NA,NA,YAM,134,NA,NA,NA,NA,0
15-01-18,235,7520579,4.2447,-74.1955,3744,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7520579,4.2447,-74.1955,3744,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7520579,4.2447,-74.1955,3744,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7492048,4.24616,-74.19714,3806,grandiflora,1,1,1,1,1,1,1,0,1,0,0,0,0,1,YAM,131,NA,NA,NA,NA,YAM,130,NA,NA,NA,NA,0
15-01-18,235,7492048,4.24616,-74.19714,3806,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7492048,4.24616,-74.19714,3806,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7492048,4.24616,-74.19714,3806,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7463519,4.24696,-74.19766,3859,grandiflora,1,1,1,1,1,1,1,0,0,0,0,0,1,1,YAM,129,NA,NA,NA,NA,YAM,128,NA,NA,NA,NA,0
